ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0103-37862020000100200-scl","Data librarianship as a field study","SEMELER, Alexandre Ribas, PINTO, Adilson Luiz","Transinformação; 32(); -","Transinformação","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862020000100200&lang=pt" 
"S0103-37862019000100305-scl","Plataformas de livros acadêmicos em acesso aberto e sua representação no Twitter: métricas de divulgação, descoberta e avaliação","ODDONE, Nanci Elizabeth, FRANÇA, Cláudio Márcio de","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100305&lang=pt" 
"S0103-37862019000100306-scl","Impacto de altmetrics sobre a visibilidade de artigos em acesso aberto da enfermagem brasileira: um estudo de caso","SILVA FILHO, Rubens da Costa, VANZ, Samile Andréa de Souza","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100306&lang=pt" 
"S0103-37862019000100311-scl","Caminhos legais e ilegais para o Acesso Aberto: uma exploração de controvérsias","COUTO, Walter, FERREIRA, Sueli Mara Soares Pinto","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100311&lang=pt" 
"S0103-37862019000100312-scl","Ciência Aberta na América Latina: duas perspectivas em disputa","CLINIO, Anne","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100312&lang=pt" 
"S0103-37862019000101000-scl","ERRATUM","","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000101000&lang=pt" 
"S0103-37862019000100509-scl","Genealogia acadêmica e sua relação com a trajetória do conhecimento na Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz","VIANA, Laura Cristina Simões, SOUZA, Sheila Maria Ferraz Mendonça de, DAMACENO, Rafael Jeferson Pezzuto, MENA-CHALCO, Jesús Pascual","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100509&lang=pt" 
"S0103-37862019000100508-scl","Mediação da informação no campo da Arquivologia","SANTOS NETO, João Arlindo dos, BORTOLIN, Sueli","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100508&lang=pt" 
"S0103-37862019000100302-scl","O ecossistema da Ciência Aberta","SILVA, Fabiano Couto Corrêa da, SILVEIRA, Lúcia da","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100302&lang=pt" 
"S0103-37862019000100507-scl","Número de chamada e FRBR: um diálogo norteado por princípios da Organização da Informação","SILVA, Camila Mariana Aparecida da, TOLENTINO, Vinicius de Souza, ORTEGA, Cristina Dotta","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100507&lang=pt" 
"S0103-37862019000100506-scl","The historical and epistemological relations between Librarianship and Information Science in the Brazilian scientific production","VIEIRA, Keitty Rodrigues, KARPINSKI, Cezar","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100506&lang=pt" 
"S0103-37862019000100301-scl","A parceria para Governo Aberto como plataforma para o avanço da Ciência Aberta no Brasil","BERTIN, Patrícia Rocha Bello, FORTALEZA, Juliana Meireles, SILVA, Adriana Cristina da, OKAWACHI, Massayuki Franco","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100301&lang=pt" 
"S0103-37862019000100300-scl","The adoption of Article Processing Charges as a business model by Brazilian Open Access journals","APPEL, Andre Luiz, ALBAGLI, Sarita","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100300&lang=pt" 
"S0103-37862019000100510-scl","Recursos audiovisuais na Web de Dados: a construção do Portal Semântico Audiovisual","CONEGLIAN, Caio Saraiva, ARAKAKI, Ana Carolina Simionato, GONÇALEZ, Paula Regina Ventura Amorim, SANTAREM SEGUNDO, José Eduardo","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100510&lang=pt" 
"S0103-37862019000100501-scl","Indexação automática por atribuição de artigos científicos em português da área de Ciência da Informação","BANDIM, Marcio Aercio Silva, CORREA, Renato Fernandes","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100501&lang=pt" 
"S0103-37862019000100505-scl","Propuesta teórica para la sistematización, archivo y recuperación de los datos de los sitios Web de entidades del tercer sector: El caso Colombia – Cataluña","CALVO, Santiago Tejedor, RIU, Laia Montoliu","Transinformação; 31(); -","Transinformação","Espanhol","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100505&lang=pt" 
"S0103-37862019000100504-scl","Tempo alocado, importância das atividades e perfil da equipe em bibliotecas universitárias na perspectiva dos processos de negócio","CASTANHO, Viviane Carrion, CATEN, Carla Schwengber ten","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100504&lang=pt" 
"S0103-37862019000100701-scl","Falsa percepção de gratuidade: a prática do zero-rating e o Marco Civil da Internet","GARCIA E SILVA, Hermann Bergmann, MARQUES, Rodrigo Moreno","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100701&lang=pt" 
"S0103-37862019000100500-scl","Competência em Informação: mapeamento do uso de fontes de informação por discentes da área da saúde","OLIVEIRA, Daianny Seoni de, OLIVEIRA, Nara Rejane Cruz de","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100500&lang=pt" 
"S0103-37862019000100700-scl","Collaborative e-Health Environments: The enhanced role of health agents","JORENTE, Maria José Vicentini, NAKANO, Natalia, PADUA, Mariana Cantisani, SILVA, Anahi Rocha","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100700&lang=pt" 
"S0103-37862019000100503-scl","University libraries: The role of an accessible campus on the inclusion of users with special needs","DINIZ, Isabel Cristina dos Santos, ALMEIDA, Ana Margarida, FURTADO, Cassia Cordeiro","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100503&lang=pt" 
"S0103-37862019000100502-scl","Metadados de negócio: representação da informação dos processos de trabalho","BRANDT, Mariana Baptista, VIDOTTI, Silvana Aparecida Borsetti Gregorio","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100502&lang=pt" 
"S0103-37862019000100200-scl","As Métricas Alternativas e Ciência Aberta na América Latina: desafios para a democratização do conhecimento","OLIVEIRA, Thaiane Moreira de","Transinformação; 31(); -","Transinformação","Inglês, Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100200&lang=pt" 
"S0103-37862019000100310-scl","Práticas de Ciência Aberta da comunidade acadêmica brasileira: estudo a partir da produção científica","CABALLERO-RIVERO, Alejandro, SÁNCHEZ-TARRAGÓ, Nancy, SANTOS, Raimundo Nonato Macedo dos","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100310&lang=pt" 
"S0103-37862019000100303-scl","Métrica alternativa para dados governamentais abertos na América Latina","NASCIMENTO-SILVA, Patrícia, KERR-PINHEIRO, Marta Macedo","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100303&lang=pt" 
"S0103-37862019000100304-scl","Estudos altmétricos no Brasil: uma análise a partir dos currículos da Plataforma Lattes-CNPq","GOUVEIA, Fabio Castro","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100304&lang=pt" 
"S0103-37862019000100309-scl","Visibilidad e impacto altmétrico de los investigadores de la Universidad de Antioquia: metodología aplicable a universidades","URIBE-TIRADO, Alejandro, OCHOA-GUTIÉRREZ, Jaider, RUIZ-NUÑEZ, Kelis, FAJARDO-BERMÚDEZ, Marcela","Transinformação; 31(); -","Transinformação","Espanhol","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100309&lang=pt" 
"S0103-37862019000100308-scl","Urban governance in Latin America: Bibliometrics applied to the context of smart cities","FERNANDES, Ricardo Augusto Souza, QUEIROZ, Andréa Oliveira, WILMERS, Júlia Tereza Abrão Vieira Lourenço, HOFFMANN, Wanda Aparecida Machado","Transinformação; 31(); -","Transinformação","Inglês","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100308&lang=pt" 
"S0103-37862019000100307-scl","Panorama da produção científi ca do Brasil além da indexação: uma análise exploratória da comunicação em periódicos","MUGNAINI, Rogério, DAMACENO, Rafael Jeferson Pezzuto, DIGIAMPIETRI, Luciano Antonio, MENA-CHALCO, Jesús Pascual","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100307&lang=pt" 
"S0103-37862019000100313-scl","Por métricas alternativas mais relevantes para a América Latina","BARATA, Germana","Transinformação; 31(); -","Transinformação","Português","2019","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862019000100313&lang=pt" 
"S0103-37862018000300277-scl","Análisis de co-palabras aplicado a los artículos muy citados en Biblioteconomía y Ciencias de la Información (2007-2017)","GALVEZ, Carmen","Transinformação; 30(3); 277-286","Transinformação","Espanhol","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300277&lang=pt" 
"S0103-37862018000300348-scl","Dialogical elements in Harris, Dewey, Cutter, Otlet, Kaiser, and Ranganathan: Theoretical convergences in the history of Knowledge Organization","SALES, Rodrigo de, MARTÍNEZ-ÁVILA, Daniel, GUIMARÃES, José Augusto","Transinformação; 30(3); 348-362","Transinformação","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300348&lang=pt" 
"S0103-37862018000300324-scl","Geração de indicadores para periódicos científicos abertos","MARCHIORI, Patrícia Zeni, BETTONI, Eduardo Michelotti, CARVALHO, Marcelo Batista, APPEL, Andre Luiz","Transinformação; 30(3); 324-335","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300324&lang=pt" 
"S0103-37862018000300287-scl","Formação de clusters na docência por interesse de pesquisa: método de auxílio à tomada de decisões em cursos de nível superior","MANSILHA, Ricardo Brandão, SELLITTO, Miguel Afonso, LACERDA, Daniel Pacheco, SERRANO, Rosiane","Transinformação; 30(3); 287-298","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300287&lang=pt" 
"S0103-37862018000300336-scl","Los estudios de Grado en Información y Documentación en España. De los antecedentes a la situación actual: una visión crítica","MUÑOZ-CAÑAVATE, Antonio, LARIOS-SUÁREZ, Verónica","Transinformação; 30(3); 336-347","Transinformação","Espanhol","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300336&lang=pt" 
"S0103-37862018000300314-scl","Patrimônio natural, documentação e pesquisa","KARPINSKI, Cezar","Transinformação; 30(3); 314-323","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300314&lang=pt" 
"S0103-37862018000300299-scl","El periodismo slow digital de Jot Down y Gatopardo","GAUXACHS, Alba SABATÉ, SANZ, Josep Lluís MICÓ, BOSCH, Míriam DÍEZ","Transinformação; 30(3); 299-313","Transinformação","Espanhol","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000300299&lang=pt" 
"S0103-37862018000200141-scl","A mídia na Ciência da Informação","PEREIRA, César Antonio","Transinformação; 30(2); 141-152","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200141&lang=pt" 
"S0103-37862018000200249-scl","Gestão do conhecimento: tipologia a partir dos fatores contextuais da organização","GONZALEZ, Rodrigo Valio Dominguez, MARTINS, Manoel Fernando, MELO, Tatiana Massaroli","Transinformação; 30(2); 249-266","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200249&lang=pt" 
"S0103-37862018000200153-scl","Validación del Índice de Calidad Formal como modelo para la evaluación de websites: el caso de la e-Administración local portuguesa","PIÑEIRO-NAVAL, Valeriano, MANGANA, Rafael, SERRA, Paulo","Transinformação; 30(2); 153-165","Transinformação","Espanhol","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200153&lang=pt" 
"S0103-37862018000200237-scl","Public libraries and school libraries: Major differences","PAIVA, Marilia de Abreu Martins de, FERRAZ, Marina Nogueira","Transinformação; 30(2); 237-247","Transinformação","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200237&lang=pt" 
"S0103-37862018000200167-scl","Statistical evaluation of research performance of young university scholars: A case study","PRAUS, Petr","Transinformação; 30(2); 167-177","Transinformação","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200167&lang=pt" 
"S0103-37862018000200267-scl","Los estudiantes de Comunicación en las redes sociales: estudio comparativo entre Brasil, Colombia y España","TEJEDOR, Santiago, BUGS, Ricardo CARNIEL, LUQUE, Santiago GIRALDO","Transinformação; 30(2); 267-276","Transinformação","Espanhol","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200267&lang=pt" 
"S0103-37862018000200209-scl","Peering into peer review: Good quality reviews of research articles require neither writing too much nor taking too long","FIERRO, Paula CABEZAS Del, MERUANE, Omar SABAJ, ESPINOZA, Germán VARAS, HERRERA, Valeria GONZÁLEZ","Transinformação; 30(2); 209-218","Transinformação","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200209&lang=pt" 
"S0103-37862018000200219-scl","Evaluation and decision making in a university library from performance indicators","PEREIRA, Carla Purcina de Campos, VARVAKIS, Gregorio","Transinformação; 30(2); 219-235","Transinformação","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200219&lang=pt" 
"S0103-37862018000200193-scl","Recuperação de informação em dados ligados: um modelo baseado em mapas conceituais e análise de redes complexas","CRISTOVÃO, Henrique Monteiro, FERNANDES, Jorge Henrique Cabral","Transinformação; 30(2); 193-207","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200193&lang=pt" 
"S0103-37862018000200179-scl","Avaliação de critérios para seleção de sintagmas nominais com valor para a recuperação da informação","NASCIMENTO, Gustavo Diniz do, CORREA, Renato Fernandes","Transinformação; 30(2); 179-192","Transinformação","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862018000200179&lang=pt" 
